events,relations,freq1,freq2,relSup1,relSup2,disprop
"(('A', 'a'), ('A', 'c'))",b,458,923,0.916,0.923,0.9924160346695557
"(('A', 'a'), ('A', 'c'))",o,236,468,0.472,0.468,1.0085470085470085
"(('A', 'a'), ('A', 'a'))",b,371,772,0.742,0.772,0.961139896373057
"(('A', 'a'), ('B', 'a'))",o,282,555,0.564,0.555,1.016216216216216
"(('A', 'a'), ('B', 'a'))",b,396,816,0.792,0.816,0.9705882352941178
"(('A', 'a'), ('B', 'a'))",c,243,469,0.486,0.469,1.0362473347547976
"(('A', 'a'), ('C', 'c'))",o,282,572,0.564,0.572,0.986013986013986
"(('A', 'a'), ('C', 'c'))",b,392,800,0.784,0.8,0.98
"(('A', 'a'), ('C', 'c'))",c,236,455,0.472,0.455,1.0373626373626372
"(('A', 'a'), ('C', 'a'))",b,400,815,0.8,0.815,0.98159509202454
"(('A', 'a'), ('C', 'a'))",o,300,557,0.6,0.557,1.0771992818671452
"(('A', 'a'), ('C', 'a'))",c,236,468,0.472,0.468,1.0085470085470085
"(('A', 'a'), ('D', 'c'))",c,246,495,0.492,0.495,0.9939393939393939
"(('A', 'a'), ('D', 'c'))",b,399,823,0.798,0.823,0.9696233292831107
"(('A', 'a'), ('D', 'c'))",o,294,579,0.588,0.579,1.0155440414507773
"(('A', 'a'), ('D', 'a'))",b,400,817,0.8,0.817,0.9791921664626684
"(('A', 'a'), ('D', 'a'))",o,282,570,0.564,0.57,0.9894736842105263
"(('A', 'a'), ('D', 'a'))",c,228,466,0.456,0.466,0.9785407725321889
"(('A', 'a'), ('E', 'a'))",o,281,550,0.562,0.55,1.0218181818181817
"(('A', 'a'), ('E', 'a'))",b,405,802,0.81,0.802,1.0099750623441397
"(('A', 'a'), ('E', 'a'))",c,254,485,0.508,0.485,1.0474226804123712
"(('A', 'c'), ('A', 'a'))",b,459,930,0.918,0.93,0.9870967741935484
"(('A', 'c'), ('A', 'a'))",o,223,455,0.446,0.455,0.9802197802197802
"(('A', 'c'), ('B', 'a'))",b,393,805,0.786,0.805,0.9763975155279503
"(('A', 'c'), ('B', 'a'))",o,269,574,0.538,0.574,0.937282229965157
"(('A', 'c'), ('B', 'a'))",c,245,468,0.49,0.468,1.0470085470085468
"(('A', 'c'), ('C', 'a'))",b,414,823,0.828,0.823,1.006075334143378
"(('A', 'c'), ('C', 'a'))",o,273,577,0.546,0.577,0.9462738301559793
"(('A', 'c'), ('C', 'a'))",c,257,490,0.514,0.49,1.0489795918367348
"(('A', 'c'), ('D', 'a'))",c,238,498,0.476,0.498,0.9558232931726908
"(('A', 'c'), ('D', 'a'))",b,401,817,0.802,0.817,0.9816401468788251
"(('A', 'c'), ('D', 'a'))",o,289,576,0.578,0.576,1.0034722222222223
