events,relations,freq1,freq2,relSup1,relSup2,disprop
"(('A', 'c'), ('A', 'c'))",c,53,0,0.5346534653465347,0,481.72277227722776
"(('A', 'c'), ('A', 'c'))",o,32,0,0.32673267326732675,0,294.3861386138614
"(('A', 'c'), ('A', 'a'))",o,64,290,0.6435643564356436,0.32297447280799113,1.9926167874519412
"(('A', 'c'), ('A', 'a'))",c,50,18,0.504950495049505,0.021087680355160933,23.945284002084417
"(('A', 'c'), ('B', 'a'))",c,96,824,0.9603960396039604,0.9156492785793563,1.0488688868886888
"(('A', 'c'), ('B', 'a'))",o,88,522,0.8811881188118812,0.5804661487236404,1.5180697802093783
"(('A', 'c'), ('B', 'a'))",b,37,393,0.37623762376237624,0.43729189789123196,0.8603809619540634
"(('A', 'c'), ('B', 'c'))",c,95,829,0.9504950495049505,0.9211986681465039,1.031802457354169
"(('A', 'c'), ('B', 'c'))",o,88,511,0.8811881188118812,0.5682574916759157,1.5506845606435644
"(('A', 'c'), ('B', 'c'))",b,38,396,0.38613861386138615,0.4406215316315205,0.8763498516098461
"(('A', 'c'), ('C', 'a'))",c,96,824,0.9603960396039604,0.9156492785793563,1.0488688868886888
"(('A', 'c'), ('C', 'a'))",o,88,522,0.8811881188118812,0.5804661487236404,1.5180697802093783
"(('A', 'c'), ('C', 'a'))",b,37,393,0.37623762376237624,0.43729189789123196,0.8603809619540634
"(('A', 'c'), ('C', 'c'))",c,95,829,0.9504950495049505,0.9211986681465039,1.031802457354169
"(('A', 'c'), ('C', 'c'))",o,88,511,0.8811881188118812,0.5682574916759157,1.5506845606435644
"(('A', 'c'), ('C', 'c'))",b,38,397,0.38613861386138615,0.44173140954495005,0.8741479675605752
"(('A', 'c'), ('D', 'c'))",c,75,342,0.7524752475247525,0.3806881243063263,1.9766186531189562
"(('A', 'c'), ('D', 'c'))",o,70,464,0.7029702970297029,0.516093229744728,1.3620994357500267
"(('A', 'c'), ('F', 'a'))",c,74,290,0.7425742574257426,0.32297447280799113,2.299173216290701
"(('A', 'c'), ('F', 'a'))",o,73,444,0.7326732673267327,0.4938956714761376,1.48345755923907
"(('A', 'c'), ('F', 'c'))",o,77,437,0.7722772277227723,0.48612652608213097,1.588634205886342
"(('A', 'c'), ('F', 'c'))",c,68,307,0.6831683168316832,0.341842397336293,1.9984891346277487
"(('A', 'c'), ('G', 'c'))",c,74,311,0.7425742574257426,0.3462819089900111,2.1444211728865192
"(('A', 'c'), ('G', 'c'))",o,78,451,0.7821782178217822,0.5016648168701443,1.5591649872951896
"(('A', 'c'), ('G', 'a'))",c,69,332,0.693069306930693,0.36958934517203107,1.8752415782118752
"(('A', 'c'), ('G', 'a'))",o,76,453,0.7623762376237624,0.5038845726970034,1.5129977755484798
"(('A', 'c'), ('H', 'c'))",c,73,300,0.7326732673267327,0.3340732519422864,2.193151541067728
"(('A', 'c'), ('H', 'c'))",o,79,470,0.7920792079207921,0.5227524972253053,1.5152088457253368
"(('A', 'c'), ('I', 'c'))",o,78,452,0.7821782178217822,0.5027746947835738,1.5557231219810723
"(('A', 'c'), ('I', 'c'))",c,67,295,0.6732673267326733,0.32852386237513875,2.0493711533315495
"(('A', 'c'), ('J', 'a'))",c,77,313,0.7722772277227723,0.34850166481687017,2.215992936873305
"(('A', 'c'), ('J', 'a'))",o,70,420,0.7029702970297029,0.4672586015538291,1.5044566214341148
"(('A', 'a'), ('A', 'c'))",c,52,13,0.5247524752475248,0.01553829078801332,33.771570014144274
"(('A', 'a'), ('A', 'c'))",o,66,268,0.6633663366336634,0.2985571587125416,2.2219073208436084
"(('A', 'a'), ('B', 'a'))",c,98,827,0.9801980198019802,0.9189789123196448,1.066616444253121
"(('A', 'a'), ('B', 'a'))",o,89,517,0.8910891089108911,0.5749167591564928,1.54994456974655
"(('A', 'a'), ('B', 'a'))",b,36,399,0.36633663366336633,0.4439511653718091,0.8251732673267326
"(('A', 'a'), ('B', 'c'))",c,100,823,1.0,0.9145394006659268,1.0934466019417475
"(('A', 'a'), ('B', 'c'))",o,86,506,0.8613861386138614,0.562708102108768,1.5307868064913002
"(('A', 'a'), ('B', 'c'))",b,33,391,0.33663366336633666,0.43507214206437295,0.7737421701353809
"(('A', 'a'), ('C', 'a'))",c,98,827,0.9801980198019802,0.9189789123196448,1.066616444253121
"(('A', 'a'), ('C', 'a'))",o,89,517,0.8910891089108911,0.5749167591564928,1.54994456974655
"(('A', 'a'), ('C', 'a'))",b,36,399,0.36633663366336633,0.4439511653718091,0.8251732673267326
"(('A', 'a'), ('C', 'c'))",c,100,823,1.0,0.9145394006659268,1.0934466019417475
"(('A', 'a'), ('C', 'c'))",o,86,505,0.8613861386138614,0.5615982241953386,1.5338120768598598
"(('A', 'a'), ('C', 'c'))",b,33,391,0.33663366336633666,0.43507214206437295,0.7737421701353809
"(('A', 'a'), ('D', 'c'))",o,82,457,0.8217821782178217,0.5083240843507214,1.6166500929568939
"(('A', 'a'), ('D', 'c'))",c,82,350,0.8217821782178217,0.3895671476137625,2.1094750500691095
"(('A', 'a'), ('D', 'a'))",o,77,426,0.7722772277227723,0.4739178690344062,1.6295592088482853
"(('A', 'a'), ('D', 'a'))",c,80,350,0.801980198019802,0.3895671476137625,2.0586443259710587
"(('A', 'a'), ('E', 'c'))",c,78,325,0.7821782178217822,0.36182019977802443,2.1617870375994657
"(('A', 'a'), ('E', 'c'))",o,79,465,0.7920792079207921,0.5172031076581576,1.5314664513661669
"(('A', 'a'), ('E', 'a'))",c,67,329,0.6732673267326733,0.3662597114317425,1.8382238223822382
"(('A', 'a'), ('E', 'a'))",o,82,420,0.8217821782178217,0.4672586015538291,1.7587309799863595
"(('A', 'a'), ('F', 'c'))",c,72,292,0.7227722772277227,0.32519422863485015,2.2225864224647722
"(('A', 'a'), ('F', 'c'))",o,76,441,0.7623762376237624,0.49056603773584906,1.5540746382330541
"(('A', 'a'), ('F', 'a'))",c,77,319,0.7722772277227723,0.3551609322974473,2.174443069306931
"(('A', 'a'), ('F', 'a'))",o,76,440,0.7623762376237624,0.4894561598224195,1.5575986170045577
"(('A', 'a'), ('G', 'c'))",o,76,471,0.7623762376237624,0.5238623751387348,1.4552987078368853
"(('A', 'a'), ('G', 'c'))",c,75,327,0.7524752475247525,0.36403995560488345,2.0670127988408598
"(('A', 'a'), ('H', 'c'))",c,69,313,0.693069306930693,0.34850166481687017,1.9887116100145044
"(('A', 'a'), ('H', 'c'))",o,71,442,0.7128712871287128,0.4916759156492786,1.4498804282234092
"(('A', 'a'), ('H', 'a'))",c,84,332,0.8415841584158416,0.36958934517203107,2.277079059257277
"(('A', 'a'), ('H', 'a'))",o,73,454,0.7326732673267327,0.5049944506104328,1.450854096398651
"(('A', 'a'), ('I', 'c'))",c,71,317,0.7128712871287128,0.35294117647058826,2.0198019801980194
"(('A', 'a'), ('I', 'c'))",o,82,444,0.8217821782178217,0.4938956714761376,1.6638780732005785
"(('A', 'a'), ('I', 'a'))",o,76,457,0.7623762376237624,0.5083240843507214,1.4997838211768775
"(('A', 'a'), ('I', 'a'))",c,81,318,0.8118811881188119,0.35405105438401774,2.293118967069121
"(('A', 'a'), ('J', 'a'))",c,72,322,0.7227722772277227,0.3584905660377358,2.016154247003648
"(('A', 'a'), ('J', 'a'))",o,71,456,0.7128712871287128,0.5072142064372919,1.4054639599627359
"(('A', 'a'), ('J', 'c'))",o,77,445,0.7722772277227723,0.49500554938956715,1.5601385250632687
"(('A', 'a'), ('J', 'c'))",c,69,327,0.693069306930693,0.36403995560488345,1.903827577879739
"(('A', 'a'), ('G', 'a'))",o,76,431,0.7623762376237624,0.4794672586015538,1.5900485881921527
"(('A', 'a'), ('G', 'a'))",c,76,347,0.7623762376237624,0.38623751387347394,1.973853419824741
"(('A', 'c'), ('E', 'a'))",o,73,438,0.7326732673267327,0.4872364039955605,1.503732605606802
"(('A', 'c'), ('E', 'a'))",c,76,327,0.7623762376237624,0.36403995560488345,2.094210335667713
"(('A', 'c'), ('H', 'a'))",o,75,432,0.7524752475247525,0.48057713651498335,1.5657741293759861
"(('A', 'c'), ('H', 'a'))",c,71,323,0.7128712871287128,0.35960044395116536,1.9823982398239823
"(('A', 'c'), ('D', 'a'))",o,68,438,0.6831683168316832,0.4872364039955605,1.4021290511739102
"(('A', 'c'), ('D', 'a'))",c,72,345,0.7227722772277227,0.38401775804661487,1.8821324328964688
"(('A', 'c'), ('E', 'c'))",o,76,462,0.7623762376237624,0.5138734739178691,1.4835874516177319
"(('A', 'c'), ('E', 'c'))",c,71,291,0.7128712871287128,0.32408435072142067,2.1996473619964734
"(('A', 'c'), ('I', 'a'))",o,73,458,0.7326732673267327,0.5094339622641509,1.4382104877154382
"(('A', 'c'), ('I', 'a'))",c,72,329,0.7227722772277227,0.3662597114317425,1.9733873387338732
"(('A', 'c'), ('J', 'c'))",c,72,292,0.7227722772277227,0.32519422863485015,2.2225864224647722
"(('A', 'c'), ('J', 'c'))",o,80,459,0.801980198019802,0.5105438401775805,1.57083512699096
"(('A', 'a'), ('A', 'a'))",c,50,0,0.504950495049505,0,454.96039603960395
"(('B', 'c'), ('A', 'c'))",o,91,677,0.9108910891089109,0.7524972253052165,1.2104909606004848
"(('B', 'c'), ('A', 'c'))",c,39,49,0.39603960396039606,0.05549389567147614,7.136633663366337
"(('B', 'c'), ('A', 'c'))",b,37,397,0.37623762376237624,0.44173140954495005,0.851733917110304
"(('B', 'c'), ('B', 'a'))",c,77,123,0.7722772277227723,0.13762486126526083,5.611465985308208
"(('B', 'c'), ('B', 'a'))",o,100,897,1.0,0.9966703662597114,1.0033407572383073
"(('B', 'c'), ('B', 'a'))",b,56,860,0.5643564356435643,0.9556048834628191,0.5905750853831027
"(('B', 'c'), ('C', 'c'))",c,100,899,1.0,0.9988901220865705,1.001111111111111
"(('B', 'c'), ('C', 'c'))",o,70,9,0.7029702970297029,0.011098779134295227,63.33762376237623
"(('B', 'c'), ('C', 'c'))",b,61,890,0.6138613861386139,0.9889012208657048,0.6207509639852874
"(('B', 'c'), ('C', 'a'))",c,78,124,0.7821782178217822,0.13873473917869034,5.6379405940594065
"(('B', 'c'), ('C', 'a'))",o,100,897,1.0,0.9966703662597114,1.0033407572383073
"(('B', 'c'), ('C', 'a'))",b,56,860,0.5643564356435643,0.9556048834628191,0.5905750853831027
"(('B', 'c'), ('D', 'c'))",c,64,135,0.6435643564356436,0.1509433962264151,4.263613861386139
"(('B', 'c'), ('D', 'c'))",o,97,688,0.9702970297029703,0.7647058823529411,1.2688499619192688
"(('B', 'c'), ('D', 'c'))",b,32,390,0.32673267326732675,0.4339622641509434,0.7529057253551442
"(('B', 'c'), ('E', 'c'))",o,91,692,0.9108910891089109,0.7691453940066593,1.1842898575571843
"(('B', 'c'), ('E', 'c'))",c,47,131,0.4752475247524752,0.146503884572697,3.243924392439244
"(('B', 'c'), ('E', 'c'))",b,38,407,0.38613861386138615,0.4528301886792453,0.8527227722772277
"(('B', 'c'), ('F', 'a'))",o,95,669,0.9504950495049505,0.7436182019977803,1.2782030441850154
"(('B', 'c'), ('F', 'a'))",c,51,129,0.5148514851485149,0.14428412874583796,3.5683168316831684
"(('B', 'c'), ('F', 'a'))",b,33,402,0.33663366336633666,0.44728079911209767,0.7526226568066237
"(('B', 'c'), ('G', 'c'))",c,52,132,0.5247524752475248,0.14761376248612654,3.5549021067520283
"(('B', 'c'), ('G', 'c'))",b,36,394,0.36633663366336633,0.4384017758046615,0.8356184985587166
"(('B', 'c'), ('G', 'c'))",o,92,689,0.9207920792079208,0.7658157602663707,1.2023676280671547
"(('B', 'c'), ('H', 'c'))",o,94,678,0.9405940594059405,0.753607103218646,1.2481226031292376
"(('B', 'c'), ('H', 'c'))",c,48,132,0.48514851485148514,0.14761376248612654,3.2866076081292337
"(('B', 'c'), ('H', 'c'))",b,32,381,0.32673267326732675,0.4239733629300777,0.7706443419211031
"(('B', 'c'), ('I', 'c'))",o,92,656,0.9207920792079208,0.7291897891231964,1.2627605226276053
"(('B', 'c'), ('I', 'c'))",c,51,116,0.5148514851485149,0.12985571587125416,3.9647964796479647
"(('B', 'c'), ('I', 'c'))",b,33,408,0.33663366336633666,0.45394006659267483,0.7415817376358663
"(('B', 'c'), ('J', 'a'))",o,88,662,0.8811881188118812,0.7358490566037735,1.1975120588981976
"(('B', 'c'), ('J', 'a'))",c,44,128,0.44554455445544555,0.14317425083240842,3.111904213677182
"(('B', 'c'), ('J', 'a'))",b,39,385,0.39603960396039606,0.4284128745837958,0.9244344123531525
"(('B', 'a'), ('B', 'c'))",o,100,894,1.0,0.9933407325194229,1.006703910614525
"(('B', 'a'), ('B', 'c'))",c,75,109,0.7524752475247525,0.1220865704772475,6.163456345634564
"(('B', 'a'), ('B', 'c'))",b,57,864,0.5742574257425742,0.9600443951165372,0.598157156756138
"(('B', 'a'), ('B', 'a'))",c,71,0,0.7128712871287128,0,642.2970297029702
"(('B', 'a'), ('B', 'a'))",b,56,887,0.5643564356435643,0.9855715871254163,0.5726184104896975
"(('B', 'a'), ('B', 'a'))",o,70,0,0.7029702970297029,0,633.3762376237623
"(('B', 'a'), ('C', 'a'))",c,100,898,1.0,0.9977802441731409,1.0022246941045607
"(('B', 'a'), ('C', 'a'))",b,56,887,0.5643564356435643,0.9855715871254163,0.5726184104896975
"(('B', 'a'), ('C', 'a'))",o,70,0,0.7029702970297029,0,633.3762376237623
"(('B', 'a'), ('C', 'c'))",o,100,894,1.0,0.9933407325194229,1.006703910614525
"(('B', 'a'), ('C', 'c'))",c,75,110,0.7524752475247525,0.12319644839067703,6.107929711890107
"(('B', 'a'), ('C', 'c'))",b,57,864,0.5742574257425742,0.9600443951165372,0.598157156756138
"(('B', 'a'), ('D', 'c'))",c,58,127,0.5841584158415841,0.14206437291897892,4.111927599009901
"(('B', 'a'), ('D', 'c'))",o,89,668,0.8910891089108911,0.7425083240843507,1.200106557740976
"(('B', 'a'), ('D', 'c'))",b,38,417,0.38613861386138615,0.46392896781354054,0.832322705954806
"(('B', 'a'), ('F', 'a'))",c,57,121,0.5742574257425742,0.13540510543840178,4.241032299951306
"(('B', 'a'), ('F', 'a'))",o,92,672,0.9207920792079208,0.7469478357380688,1.2327394700837098
"(('B', 'a'), ('F', 'a'))",b,39,382,0.39603960396039606,0.42508324084350724,0.9316754129721067
"(('B', 'a'), ('G', 'c'))",c,54,125,0.5445544554455446,0.13984461709211987,3.893996542511394
"(('B', 'a'), ('G', 'c'))",o,94,679,0.9405940594059405,0.7547169811320755,1.2462871287128712
"(('B', 'a'), ('G', 'c'))",b,34,402,0.3465346534653465,0.44728079911209767,0.774758617300936
"(('B', 'a'), ('H', 'c'))",c,48,105,0.48514851485148514,0.11764705882352941,4.123762376237623
"(('B', 'a'), ('H', 'c'))",b,39,396,0.39603960396039606,0.4406215316315205,0.8988203606254833
"(('B', 'a'), ('H', 'c'))",o,93,676,0.9306930693069307,0.7513873473917869,1.2386328736270968
"(('B', 'a'), ('I', 'c'))",c,50,123,0.504950495049505,0.13762486126526083,3.66903545193229
"(('B', 'a'), ('I', 'c'))",b,33,383,0.33663366336633666,0.4261931187569367,0.789861798679868
"(('B', 'a'), ('I', 'c'))",o,90,672,0.900990099009901,0.7469478357380688,1.2062289438453504
"(('B', 'a'), ('J', 'a'))",b,36,384,0.36633663366336633,0.42730299667036625,0.8573228751446573
"(('B', 'a'), ('J', 'a'))",o,93,668,0.9306930693069307,0.7425083240843507,1.2534446269739081
"(('B', 'a'), ('J', 'a'))",c,48,132,0.48514851485148514,0.14761376248612654,3.2866076081292337
"(('B', 'c'), ('B', 'c'))",o,70,0,0.7029702970297029,0,633.3762376237623
"(('B', 'c'), ('B', 'c'))",c,71,0,0.7128712871287128,0,642.2970297029702
"(('B', 'c'), ('B', 'c'))",b,61,890,0.6138613861386139,0.9889012208657048,0.6207509639852874
